Travis Kelce’s old tweets are resurfacing online, and some Swifties are here for it	Taylor Swift and Travis Kelce's viral public relationship has captivated the internet. Now, so have some of Kelce’s old tweets.	NBC News
Eagles' Jason Kelce expresses concern for brother Travis Kelce amid budding romance with Taylor Swift	Jason Kelce is "happy" for brother Travis Kelce amid his budding romance with pop sensation Taylor Swift, but he does have one possible concern.	Fox News
Concert movies are the future of pop music fandom	Taylor Swift, BTS, and Beyoncé’s concert movies level the field for fans. Once considered secondary to live shows, filmed concerts are now essential to fandom.	Polygon
11 photos of Taylor Swift going through all the emotions watching Travis Kelce at the Chiefs game	Waving to fans, celebrating and more for Taylor Swift in her return to Arrowhead Stadium.	USA Today
"Concerts Are Meant To Be A Safe Space. Never A Space Where You Should Lose Your Life.": Taylor Swift And Fans Reacted After A Fan Died Before Her Eras Tour Stop In Brazil	"Concerts are meant to be a safe space. Never a space where you should lose your life."View Entire Post ›	Buzzfeed
4 Travis Kelce and Taylor Swift podcast revelations from his Argentina trip, including knowing Karma lyrics would change	Travis Kelce talked with his brother Jason on their New Heights podcast about his trip to see Taylor Swift in Argentina.	USA Today
Video: Broncos Play Taylor Swift's 'Shake It Off' After Beating Travis Kelce, Chiefs	The Kansas City Chiefs need to shake off their 24-9 loss to the Denver Broncos Sunday. That's what the home team indicated with their postgame song choice.…	Bleacher Report
Taylor Swift fans are convinced 1989 (Taylor’s Version) could be a double album, and they might be right	Are the Swifties on to something here?	USA Today
Travis Kelce fist-pumps after a ‘Taylor Swift’s boyfriend’ cheer from an enthusiastic fan	Kelce can add one more title to his long list of accolades.	USA Today
Taylor Swift Fan Dies Before Eras Concert in Rio, Attendees Complain About Venue Conditions	A 23-year-old fan died at the Eras Tour concert in Rio on Friday night, according to a statement from the show's organizers in Brazil.	Time
Peyton Manning and Luke Bryan hysterically roasted the Jets with a CMA Awards joke involving Taylor Swift	Jets fans might want to avoid this one.	USA Today
Taylor Swift reporter hired at Gannett after viral job listing | CNN	Consider journalist Bryan West the “lucky one,” because he’s The Tennessean and USA Today network’s new Taylor Swift Reporter.	CNN
Taylor Swift hangs with Brittany Mahomes, Sophie Turner in NYC: Photos	Taylor Swift was spotted hanging out in New York City on Saturday with friends Selena Gomez, Brittany Mahomes, Sophie Turner and Gigi Hadid.	USA Today
Patrick Mahomes says he’s worn the same pair of underwear every game since his first NFL season	Travis Kelce spent the Kansas City Chiefs’ bye week carousing through South America with Taylor Swift.	NBC News
Will Taylor Swift be at the Chiefs’ game in Germany? Travis Kelce wouldn’t say	Travis Kelce declined to discuss Taylor Swift’s status for the Chiefs' game Sunday in Germany — but left the door open.	Fox Sports
Joy Behar doesn’t want Taylor Swift stuck with ‘idiot’ Travis Kelce	'The View' host Joy Behar doesn't want Taylor Swift to be 'stuck with this idiot' Travis Kelce after several of his posts making disparaging comments about women resurfaced online: 'He’s illiterate.'	Entertainment Weekly
Taylor Swift parties with Jackson Mahomes as fans plead for her safety: 'Get her out of that box'	Taylor Swift and Brittany Mahomes cheered on the Kansas City Chiefs, but fans weren't happy to see suite celebrations with Jackson Mahomes who is accused of alleged sex crimes.	Fox News
These 80 Hilarious October Tweets Have Me FALLing On The Floor In A Fit Of Laughter	It's officially spooky season, bed bugs are overrunning Paris, the National Emergency Alert came early, Kevin McCarthy got booted as Speaker of The House, Beyoncé and Taylor Swift joined forces, Pete Davidson became a Swiftie meme, these celebrity wax statues…	Buzzfeed
Taylor Swift's Romance With Travis Kelce: What We Actually Know	Taylor Swift and Travis Kelce's blossoming romance has sparked a huge media storm.	Newsweek
Taylor Swift releases ‘1989 (Taylor’s Version)’ | CNN	Straight out of your “wildest dreams,” Taylor Swift just dropped “1989 (Taylor’s Version).”	CNN
Philadelphia radio station says it won't play Taylor Swift songs ahead of Eagles-Chiefs Super Bowl rematch	The Kansas City Chiefs host the Philadelphia Eagles Monday night, and a Philly radio station is banning Taylor Swift songs until after the game.	Fox News
Taylor Swift's Absence at Travis Kelce Game Sparks Conspiracy Theories	Travis Kelce and Taylor Swift have teased their relationship for months. The singer was absent as the Kansas City Chiefs lost their first game of the season.	Newsweek
Bills QB Josh Allen Probably Did Not Call a 'Taylor Swift' Audible	Astute fans watching the Thursday Night Football broadcast heard Josh Allen call an audible, but did he say "Taylor Swift" or "J.R. Smith?"	Newsweek
Key election takeaways and Swifties skeptical of new correspondent: Morning Rundown	Election results, third GOP debate, Vivek Ramaswamy, Ron DeSantis, Nikki Haley, Taylor Swift, Paul Kessler, Euclid telescope images, Patrick Dempsey, Sexiest Man Alive	NBC News
Taylor Swift, Travis Kelce Halloween costume wins friends a top prize: See their rendition of the stars	Florida friends dressed up as Taylor Swift and Travis Kelce for a Halloween costume contest and took home the grand prize. See the pair mimick the iconic duo!	Fox News
Taylor Swift embraces Travis Kelce, changes song lyric for him at Argentina concert	Taylor Swift changed one of her song lyrics to reference Travis Kelce and embraced the Chiefs tight end during the opening concert of her "Eras Tour" international concert series.	Fox Sports
There's one thing Taylor Swift isn't talking about	Taylor Swift is a billionaire after her Eras Tour and movie boosted her 2023 net worth. The pop star's brand benefits from her downplaying her wealth.	Business Insider
Taylor Swift’s dad gets apology from Travis Kelce; Will Smith, Jada Pinkett Smith deny cheating claims	The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.	Fox News
'Taylor Swift: The Eras Tour' tops domestic box office for 2nd week	'Killers of the Flower Moon' eclipsed by 'Taylor Swift: The Eras Tour' domestically, but debuts at No. 1 globally.	Entertainment Weekly
